5.462770+5 0.000000+0
5.500000+5 5.906900-3
6.000000+5 2.517300-2
6.500000+5 3.828500-2
7.000000+5 5.088600-2
7.500000+5 6.732500-2
8.000000+5 9.006700-2
8.500000+5 1.158500-1
9.000000+5 1.404300-1
9.500000+5 1.623400-1
1.000000+6 1.809000-1
1.050000+6 1.943600-1
1.100000+6 2.032200-1
1.150000+6 2.078300-1
1.200000+6 2.085400-1
1.250000+6 2.070800-1
1.300000+6 2.052400-1
1.400000+6 2.021800-1
1.500000+6 2.005300-1
1.600000+6 1.989900-1
1.700000+6 1.973900-1
1.800000+6 1.955600-1
1.900000+6 1.927400-1
2.000000+6 1.890300-1
2.100000+6 1.855600-1
2.200000+6 1.834600-1
2.300000+6 1.834000-1
2.400000+6 1.848500-1
2.500000+6 1.871300-1
2.600000+6 1.895500-1
2.700000+6 1.917900-1
2.800000+6 1.943500-1
2.821310+6 1.950852-1
2.900000+6 1.978000-1
3.000000+6 2.027100-1
3.100000+6 2.100200-1
3.145400+6 2.141358-1
3.200000+6 2.205076-1
3.300000+6 2.315337-1
3.400000+6 2.424606-1
3.500000+6 2.564001-1
3.600000+6 2.737797-1
3.700000+6 2.893050-1
3.717200+6 2.920712-1
3.800000+6 2.977316-1
3.900000+6 3.039795-1
4.000000+6 3.132722-1
4.100000+6 3.207699-1
4.200000+6 3.216330-1
4.289100+6 3.172763-1
4.300000+6 3.166236-1
4.400000+6 3.113517-1
4.500000+6 3.080398-1
4.600000+6 3.078901-1
4.700000+6 3.089114-1
4.800000+6 3.094413-1
4.861000+6 3.102369-1
4.900000+6 3.108609-1
5.000000+6 3.145610-1
5.100000+6 3.280702-1
5.200000+6 3.548442-1
5.295640+6 3.852460-1
5.300000+6 3.901349-1
5.350000+6 4.150710-1
5.400000+6 4.292240-1
5.432900+6 4.446515-1
5.450000+6 4.534580-1
5.500000+6 4.777126-1
5.600000+6 5.255250-1
5.700000+6 5.587184-1
5.800000+6 5.743990-1
5.900000+6 5.756245-1
6.000000+6 5.736950-1
6.004800+6 5.735391-1
6.250000+6 5.650111-1
6.500000+6 5.589916-1
6.576700+6 5.584115-1
6.750000+6 5.561801-1
7.000000+6 5.531803-1
7.148500+6 5.511596-1
7.250000+6 5.495657-1
7.500000+6 5.451800-1
7.720400+6 5.392308-1
7.750000+6 5.383173-1
8.000000+6 5.299400-1
8.250000+6 5.243670-1
8.292300+6 5.234242-1
8.500000+6 5.182730-1
8.750000+6 5.065173-1
8.864200+6 5.007442-1
9.000000+6 4.939294-1
9.250000+6 4.837586-1
9.436100+6 4.770689-1
9.500000+6 4.755643-1
9.750000+6 4.715259-1
1.000000+7 4.676227-1
1.000800+7 4.674584-1
1.050000+7 4.520206-1
1.058000+7 4.495569-1
1.100000+7 4.370800-1
1.115200+7 4.333788-1
1.150000+7 4.259431-1
1.172400+7 4.211807-1
1.200000+7 4.154468-1
1.229500+7 4.092998-1
1.250000+7 4.049511-1
1.286700+7 3.966282-1
1.300000+7 3.936280-1
1.343900+7 3.829318-1
1.350000+7 3.814552-1
1.400000+7 3.692420-1
1.401100+7 3.689838-1
1.450000+7 3.580002-1
1.458300+7 3.560247-1
1.500000+7 3.463840-1
1.515500+7 3.419512-1
1.550000+7 3.313991-1
1.572700+7 3.242756-1
1.600000+7 3.161319-1
1.629900+7 3.079799-1
1.650000+7 3.028923-1
1.687100+7 2.932001-1
1.700000+7 2.899030-1
1.744200+7 2.790077-1
1.750000+7 2.776198-1
1.800000+7 2.672279-1
1.801400+7 2.669807-1
1.850000+7 2.585936-1
1.858600+7 2.571680-1
1.900000+7 2.503610-1
1.915800+7 2.478172-1
1.950000+7 2.423341-1
1.973000+7 2.387313-1
2.000000+7 2.345107-1
 
 
 
 
