4.400000+6 1.848495+0
4.450000+6 1.818300+0
4.500000+6 1.789815+0
4.550000+6 1.761300+0
4.600000+6 1.732494+0
4.650000+6 1.703400+0
4.700000+6 1.668659+0
4.750000+6 1.633100+0
4.800000+6 1.605984+0
4.850000+6 1.584708+0
4.900000+6 1.567000+0
4.950000+6 1.550240+0
5.000000+6 1.533563+0
5.100000+6 1.501927+0
5.200000+6 1.475027+0
5.250000+6 1.463724+0
5.254914+6 1.462604+0
5.300000+6 1.455799+0
5.400000+6 1.447178+0
5.500000+6 1.452100+0
5.600000+6 1.465651+0
5.625092+6 1.469472+0
5.684092+6 1.477854+0
5.700000+6 1.480680+0
5.701813+6 1.481533+0
5.800000+6 1.496763+0
5.900000+6 1.513477+0
6.000000+6 1.530400+0
6.100000+6 1.548726+0
6.200000+6 1.567365+0
6.300000+6 1.574434+0
6.309584+6 1.575073+0
6.311246+6 1.575193+0
6.320000+6 1.575863+0
6.400000+6 1.581553+0
6.500000+6 1.563500+0
6.515808+6 1.564242+0
6.552747+6 1.567143+0
6.600000+6 1.572131+0
6.631935+6 1.569309+0
6.645209+6 1.572701+0
6.700000+6 1.589889+0
6.744431+6 1.601090+0
6.800000+6 1.604602+0
6.880000+6 1.604097+0
6.900000+6 1.603879+0
7.000000+6 1.588300+0
7.100000+6 1.583810+0
7.155000+6 1.581309+0
7.200000+6 1.580670+0
7.300000+6 1.577152+0
7.400000+6 1.573901+0
7.500000+6 1.566947+0
7.600000+6 1.560130+0
7.700000+6 1.551510+0
7.705000+6 1.551085+0
7.800000+6 1.542706+0
7.900000+6 1.534467+0
8.000000+6 1.526800+0
8.100000+6 1.520645+0
8.200000+6 1.513383+0
8.256000+6 1.509823+0
8.300000+6 1.506965+0
8.400000+6 1.500850+0
8.500000+6 1.494940+0
8.600000+6 1.489855+0
8.700000+6 1.484730+0
8.800000+6 1.481054+0
8.806000+6 1.480850+0
8.900000+6 1.477680+0
9.000000+6 1.475100+0
9.100000+6 1.472433+0
9.200000+6 1.471678+0
9.300000+6 1.470592+0
9.356000+6 1.470207+0
9.400000+6 1.469885+0
9.500000+6 1.469528+0
9.600000+6 1.469492+0
9.700000+6 1.470097+0
9.800000+6 1.470273+0
9.900000+6 1.471033+0
9.907000+6 1.471093+0
1.000000+7 1.472000+0
1.010000+7 1.473612+0
1.020000+7 1.475434+0
1.040000+7 1.479032+0
1.045700+7 1.480401+0
1.050000+7 1.481366+0
1.060000+7 1.483157+0
1.080000+7 1.485486+0
1.100000+7 1.487700+0
1.100700+7 1.487715+0
1.110000+7 1.487796+0
1.120000+7 1.487638+0
1.140000+7 1.487861+0
1.150000+7 1.487849+0
1.155800+7 1.487275+0
1.160000+7 1.486886+0
1.170000+7 1.485880+0
1.180000+7 1.485859+0
1.200000+7 1.485400+0
1.210000+7 1.485102+0
1.210800+7 1.485062+0
1.220000+7 1.484495+0
