4.170000+6 8.195508-1
4.180000+6 8.202333-1
4.200000+6 8.215982-1
4.250000+6 8.247489-1
4.300000+6 8.274999-1
4.318000+6 8.287035-1
4.350000+6 8.310432-1
4.378800+6 8.320210-1
4.400000+6 8.326867-1
4.450000+6 8.348889-1
4.500000+6 8.373911-1
4.550000+6 8.392987-1
4.600000+6 8.416064-1
4.650000+6 8.437404-1
4.670800+6 8.447513-1
4.700000+6 8.462744-1
4.750000+6 8.481357-1
4.800000+6 8.498969-1
4.830000+6 8.513911-1
4.850000+6 8.523872-1
4.900000+6 8.546342-1
5.000000+6 8.574272-1
5.050000+6 8.579539-1
5.100000+6 8.593577-1
5.150000+6 8.594084-1
5.200000+6 8.603043-1
5.254600+6 8.606366-1
5.300000+6 8.607720-1
5.400000+6 8.608756-1
5.500000+6 8.602228-1
5.600000+6 8.599747-1
5.700000+6 8.589573-1
5.800000+6 8.579399-1
5.838400+6 8.572539-1
5.900000+6 8.563011-1
6.000000+6 8.547544-1
6.200000+6 8.513423-1
6.400000+6 8.459247-1
6.422300+6 8.451620-1
6.500000+6 8.427301-1
6.600000+6 8.388023-1
6.800000+6 8.304287-1
7.000000+6 8.204565-1
7.006100+6 8.201540-1
7.200000+6 8.106470-1
7.400000+6 8.009487-1
7.500000+6 7.953978-1
7.590000+6 7.906384-1
7.600000+6 7.900783-1
7.800000+6 7.781458-1
8.000000+6 7.667693-1
8.173800+6 7.564314-1
8.200000+6 7.549080-1
8.400000+6 7.434495-1
8.500000+6 7.376399-1
8.600000+6 7.324598-1
8.757700+6 7.250103-1
8.800000+6 7.229700-1
9.000000+6 7.130000-1
9.200000+6 7.029293-1
9.341500+6 6.958043-1
9.400000+6 6.929120-1
9.500000+6 6.879680-1
9.600000+6 6.832077-1
9.800000+6 6.736873-1
9.925300+6 6.677227-1
1.000000+7 6.642000-1
1.020000+7 6.553975-1
1.040000+7 6.465950-1
1.050000+7 6.425745-1
1.050900+7 6.423326-1
1.060000+7 6.398735-1
1.080000+7 6.344690-1
1.100000+7 6.310000-1
1.109300+7 6.301214-1
1.120000+7 6.292700-1
1.140000+7 6.276785-1
1.150000+7 6.268828-1
1.160000+7 6.262008-1
1.167700+7 6.256758-1
1.180000+7 6.242760-1
1.200000+7 6.220000-1
1.225000+7 6.183730-1
1.226100+7 6.182134-1
1.250000+7 6.141815-1
1.275000+7 6.093825-1
1.284500+7 6.075588-1
1.300000+7 6.045000-1
1.325000+7 6.001619-1
1.342800+7 5.970732-1
1.350000+7 5.957919-1
1.375000+7 5.914859-1
1.400000+7 5.871800-1
1.401200+7 5.869502-1
1.425000+7 5.825485-1
1.450000+7 5.779249-1
1.459600+7 5.760195-1
1.475000+7 5.732027-1
1.500000+7 5.686300-1
1.518000+7 5.657632-1
1.525000+7 5.646198-1
1.550000+7 5.605361-1
1.575000+7 5.567274-1
1.576400+7 5.565141-1
1.600000+7 5.527400-1
1.625000+7 5.488120-1
1.634800+7 5.472722-1
1.650000+7 5.448276-1
1.675000+7 5.410565-1
1.693100+7 5.383263-1
1.700000+7 5.371900-1
1.725000+7 5.338282-1
1.750000+7 5.304664-1
1.751500+7 5.302767-1
1.775000+7 5.269834-1
1.800000+7 5.234800-1
1.809900+7 5.221706-1
1.825000+7 5.201704-1
1.850000+7 5.168586-1
1.875000+7 5.136143-1
1.900000+7 5.103700-1
1.925000+7 5.075764-1
1.950000+7 5.047827-1
1.975000+7 5.017064-1
2.000000+7 4.986300-1
 
