1.000000-5 3.254000+0
2.000000-5 2.585006+0
3.000000-5 2.288634+0
5.000000-5 1.991397+0
7.000000-5 1.833231+0
1.000000-4 1.692225+0
3.000000-4 1.386966+0
1.000000-3 1.198375+0
3.000000-3 1.101849+0
1.000000-2 1.042215+0
2.530000-2 1.015400+0
1.000000-1 9.928400-1
1.000000+0 9.872210-1
1.000000+1 1.002284+0
1.000000+2 1.030722+0
1.000000+3 1.060200+0
1.000000+4 1.060000+0
5.000000+4 1.030000+0
6.000000+4 1.018000+0
8.000000+4 9.980000-1
1.000000+5 9.830348-1
1.200000+5 9.802499-1
1.300000+5 9.832202-1
1.400000+5 9.858513-1
1.500000+5 9.973215-1
1.600000+5 1.023397+0
1.800000+5 1.089150+0
2.000000+5 1.391682+0
2.100000+5 1.682885+0
2.200000+5 2.029887+0
2.300000+5 3.177509+0
2.400000+5 5.058693+0
2.500000+5 8.945527+0
2.600000+5 1.177810+1
2.700000+5 9.357087+0
2.800000+5 6.221500+0
2.900000+5 4.437844+0
3.000000+5 3.205215+0
3.100000+5 2.643307+0
3.200000+5 2.182327+0
3.300000+5 1.850517+0
3.400000+5 1.676118+0
3.500000+5 1.587230+0
3.600000+5 1.497032+0
3.800000+5 1.336171+0
4.000000+5 1.240462+0
4.500000+5 1.111780+0
5.000000+5 1.034269+0
5.462770+5 1.021509+0
5.500000+5 1.020923+0
6.000000+5 1.026139+0
6.500000+5 1.045469+0
7.000000+5 1.072877+0
7.500000+5 1.124712+0
8.000000+5 1.199509+0
8.500000+5 1.282129+0
9.000000+5 1.368411+0
9.500000+5 1.463411+0
1.000000+6 1.554525+0
1.050000+6 1.621002+0
1.100000+6 1.665288+0
1.150000+6 1.691528+0
1.200000+6 1.703865+0
1.250000+6 1.709655+0
1.300000+6 1.713352+0
1.400000+6 1.713636+0
1.500000+6 1.700504+0
1.600000+6 1.679865+0
1.700000+6 1.665231+0
1.800000+6 1.670118+0
1.900000+6 1.694055+0
2.000000+6 1.725491+0
2.100000+6 1.761324+0
2.200000+6 1.798449+0
2.300000+6 1.838050+0
2.400000+6 1.880271+0
2.500000+6 1.920451+0
2.600000+6 1.953928+0
2.700000+6 1.978917+0
2.800000+6 1.998389+0
2.821310+6 2.002061+0
2.900000+6 2.014814+0
3.000000+6 2.030662+0
3.100000+6 2.044681+0
3.145400+6 2.049856+0
3.200000+6 2.055993+0
3.300000+6 2.067637+0
3.400000+6 2.082649+0
3.500000+6 2.106852+0
3.600000+6 2.141756+0
3.700000+6 2.183925+0
3.717200+6 2.191495+0
3.800000+6 2.229924+0
3.900000+6 2.287210+0
4.000000+6 2.356556+0
4.100000+6 2.424499+0
4.200000+6 2.477573+0
4.289100+6 2.506767+0
4.300000+6 2.509327+0
4.400000+6 2.528889+0
4.500000+6 2.541643+0
4.600000+6 2.542746+0
4.700000+6 2.527190+0
4.800000+6 2.496728+0
4.861000+6 2.472474+0
4.900000+6 2.456075+0
5.000000+6 2.409944+0
5.100000+6 2.346062+0
5.200000+6 2.263455+0
5.295640+6 2.186904+0
5.300000+6 2.183786+0
5.350000+6 2.151824+0
5.400000+6 2.128722+0
5.432900+6 2.118971+0
5.450000+6 2.115569+0
5.500000+6 2.110616+0
5.550000+6 2.112311+0
5.600000+6 2.119101+0
5.700000+6 2.149106+0
5.800000+6 2.175080+0
5.900000+6 2.180517+0
6.000000+6 2.170677+0
6.004800+6 2.169572+0
6.250000+6 2.112040+0
6.500000+6 2.054727+0
6.576700+6 2.039016+0
6.750000+6 2.005213+0
7.000000+6 1.956600+0
7.148500+6 1.928042+0
7.250000+6 1.908673+0
7.500000+6 1.867706+0
7.720400+6 1.850971+0
7.750000+6 1.849287+0
8.000000+6 1.837010+0
8.250000+6 1.812468+0
8.292300+6 1.808189+0
8.292880+6 1.808131+0
8.500000+6 1.789683+0
8.750000+6 1.774945+0
8.864200+6 1.768667+0
8.867860+6 1.768455+0
9.000000+6 1.759470+0
9.250000+6 1.739486+0
9.436100+6 1.724628+0
9.500000+6 1.719556+0
9.750000+6 1.699975+0
9.978230+6 1.682164+0
1.000000+7 1.680467+0
1.000800+7 1.679844+0
1.050000+7 1.641886+0
1.058000+7 1.635815+0
1.100000+7 1.607134+0
1.115200+7 1.598676+0
1.141230+7 1.587213+0
1.150000+7 1.583941+0
1.172400+7 1.575507+0
1.200000+7 1.564323+0
1.229500+7 1.550074+0
1.250000+7 1.539577+0
1.252260+7 1.538417+0
1.286700+7 1.520493+0
1.300000+7 1.512560+0
1.343900+7 1.480878+0
1.350000+7 1.476479+0
1.400000+7 1.441655+0
1.401100+7 1.440992+0
1.450000+7 1.416235+0
1.458300+7 1.412229+0
1.500000+7 1.392191+0
1.515500+7 1.384845+0
1.550000+7 1.368611+0
1.572700+7 1.358044+0
1.600000+7 1.345730+0
1.629900+7 1.332746+0
1.650000+7 1.324085+0
1.687100+7 1.308199+0
1.700000+7 1.302624+0
1.744200+7 1.282876+0
1.750000+7 1.280281+0
1.800000+7 1.258309+0
1.801400+7 1.257728+0
1.850000+7 1.242558+0
1.858600+7 1.240164+0
1.900000+7 1.228823+0
1.915800+7 1.223647+0
1.950000+7 1.211653+0
1.973000+7 1.203315+0
2.000000+7 1.193290+0
 
 
 
 
