11.000	52.108	1.6388	0.61020	6.6037	7.0212	29.618	21.907	231.83	183.94	0.37740	83.047	0.029557	liquid
11.250	52.376	1.6299	0.61355	6.6342	7.0561	29.733	22.024	241.48	181.87	0.38540	82.306	0.029599	liquid
11.500	52.646	1.6207	0.61703	6.6653	7.0918	29.851	22.147	252.15	179.77	0.39371	81.551	0.029650	liquid
11.750	52.917	1.6112	0.62067	6.6973	7.1285	29.972	22.276	264.01	177.64	0.40237	80.781	0.029713	liquid
12.000	53.189	1.6014	0.62447	6.7301	7.1662	30.096	22.411	277.27	175.48	0.41139	79.996	0.029789	liquid
12.250	53.462	1.5912	0.62846	6.7638	7.2050	30.225	22.554	292.17	173.29	0.42081	79.192	0.029880	liquid
12.500	53.737	1.5807	0.63265	6.7986	7.2449	30.357	22.705	309.06	171.06	0.43066	78.369	0.029990	liquid
12.750	54.013	1.5697	0.63707	6.8345	7.2862	30.493	22.865	328.34	168.79	0.44098	77.525	0.030120	liquid
13.000	54.290	1.5583	0.64174	6.8716	7.3291	30.635	23.034	350.55	166.48	0.45181	76.655	0.030277	liquid
13.250	54.569	1.5463	0.64671	6.9102	7.3736	30.782	23.214	376.41	164.13	0.46320	75.759	0.030464	liquid
13.500	54.848	1.5337	0.65201	6.9505	7.4200	30.936	23.407	406.88	161.73	0.47523	74.831	0.030691	liquid
13.750	55.130	1.5204	0.65770	6.9926	7.4686	31.097	23.614	443.26	159.28	0.48796	73.867	0.030965	liquid
14.000	55.412	1.5064	0.66385	7.0368	7.5198	31.266	23.836	487.45	156.77	0.50148	72.862	0.031302	liquid
14.250	55.696	1.4913	0.67053	7.0837	7.5740	31.446	24.078	542.14	154.20	0.51591	71.808	0.031718	liquid
14.500	55.982	1.4752	0.67787	7.1336	7.6318	31.639	24.341	611.48	151.55	0.53139	70.695	0.032243	liquid
14.750	56.269	1.4577	0.68603	7.1872	7.6941	31.846	24.630	702.01	148.83	0.54811	69.512	0.032915	liquid
15.000	56.557	1.4384	0.69521	7.2457	7.7619	32.073	24.951	824.70	146.00	0.56631	68.241	0.033800	liquid
15.250	56.847	1.4169	0.70575	7.3102	7.8370	32.324	25.312	999.41	143.07	0.58636	66.856	0.035006	liquid
15.500	57.139	1.3924	0.71817	7.3832	7.9220	32.609	25.725	1265.7	140.01	0.60879	65.319	0.036731	liquid
15.750	57.432	1.3636	0.73337	7.4684	8.0214	32.943	26.207	1714.2	136.77	0.63450	63.566	0.039380	liquid
16.000	57.726	1.3278	0.75310	7.5730	8.1438	33.357	26.791	2602.1	133.32	0.66514	61.477	0.043950	liquid
16.250	58.023	1.2793	0.78170	7.7147	8.3102	33.922	27.540	5008.7	129.57	0.70467	58.773	0.053808	liquid
0.0000	41.359	0.41567	2.4058	10.586	11.892	47.822	22.024	106.09	134.51	1.7338	27.896	0.010130	vapor
0.25000	41.582	0.41902	2.3865	10.574	11.877	47.743	22.077	107.58	134.44	1.7267	27.984	0.010220	vapor
